acidez fixa;acucar residual;desidade;pH;alcool;qualidade
7,4;1,9;0,9978;3,51;9,4;baixa
7,8;2,6;0,9968;3,2;9,8;baixa
7,8;2,3;0,997;3,26;9,8;baixa
11,2;1,9;0,998;3,16;9,8;media
7,4;1,9;0,9978;3,51;9,4;baixa
7,4;1,8;0,9978;3,51;9,4;baixa
7,9;1,6;;3,3;9,4;baixa
7,3;1,2;0,9946;3,39;10;alta
7,8;2;0,9968;3,36;11;alta
6,7;1,8;0,9959;3,28;9,2;baixa
5,6;1,6;0,9943;3,58;9,9;baixa
7,8;1,6;0,9974;3,26;9,1;baixa
8,5;1,8;0,9969;3,3;10,5;alta
7,9;1,8;0,9969;3,04;9,2;media
7,6;2,3;0,9982;3,52;9,7;baixa
7,9;;0,9966;3,17;9,5;baixa
8,5;2,3;0,9968;3,17;9,4;baixa
6,9;2,4;0,9968;3,43;9,7;media
6,3;1,4;0,9955;3,34;9,3;baixa
7,6;1,8;0,9962;3,28;9,5;baixa
7,1;1,9;0,9972;3,47;9,4;baixa
7,8;2;0,9964;3,38;9,8;media
6,7;2,4;0,9958;3,35;9;baixa
8,3;2,3;0,9966;3,17;9,8;baixa
5,2;1,8;0,9957;3,38;9,2;baixa
7,8;5,5;0,9986;3,4;9,6;media
7,8;2,4;0,9975;3,42;10,8;media
8,1;2,1;0,9968;3,23;11;alta
7,3;5,9;0,9978;3,33;9;baixa
7,5;2,6;0,9968;3,21;10,5;media
8,1;2,2;0,9968;3,3;9;baixa
7,7;2,2;0,997;3,25;9,2;baixa
8,8;1,7;0,9971;3,15;9,2;baixa
6,6;2,2;0,9956;3,4;9,4;media
6,6;2,1;0,9955;3,39;9,4;media
8,6;3;0,997;3,2;9,4;baixa
7,6;2,8;0,9955;3,17;9,4;media
10,2;3,4;0,9971;3,04;9,6;baixa
7,8;2,3;0,9975;3,43;10;baixa
7,3;2,4;0,9962;3,41;9,4;media
8,8;2,2;0,998;3,44;9,2;baixa
7,7;1,8;0,9968;3,21;9,3;baixa
7;2;0,9966;3,39;9,8;baixa
7,2;4,65;0,9962;3,41;10;baixa
7,2;4,65;0,9962;3,41;10,9;baixa
6,6;1,6;0,9962;3,44;10;baixa
8;1,9;0,9962;3,34;10,5;media
7,7;1,9;0,9961;3,31;9,5;baixa
8,8;2,2;0,9986;3,54;9;baixa
6,8;2,4;0,9966;3,52;10,7;media
6,7;2;0,9958;3,38;9;baixa
6,2;1,6;0,9958;3,41;9,2;baixa
7,4;2;0,997;3,36;9,1;baixa
6,3;1,8;0,9959;3,44;10,3;media
6,9;2,2;0,9961;3,41;9,5;baixa
8,6;1,9;0,9972;2,93;9,9;media
7,7;1,9;0,9966;3,39;9,6;baixa
9,3;2,1;0,9978;3,14;9,5;baixa
7;1,8;0,9978;3,48;9;baixa
7,9;1,9;0,9964;3,23;9,5;baixa
8,6;1,9;0,9972;2,93;9,9;media
7,7;1,9;0,9966;3,39;9,6;baixa
6,8;3;0,9965;3,45;8;baixa
7,6;2,5;0,9967;3,39;9,8;baixa
8,1;1,9;0,9972;3,3;9;media
8,3;2,1;0,9972;3,4;10,2;media
8,1;1,9;0,9972;3,3;9;media
8,1;2,1;0,9967;3,29;9,2;baixa
7,2;2,2;0,996;3,33;9,4;baixa
8,1;2,1;0,9967;3,29;9,2;baixa
7,8;1,7;0,9973;3,08;9,3;baixa
6,2;1,7;0,9969;3,46;9,3;baixa
7,8;1,8;0,9964;3,19;9,5;baixa
8,4;2,2;0,9964;3,15;9,8;baixa
10,1;2,3;0,9988;3,32;9,7;media
7,8;1,8;0,9964;3,19;9,5;baixa
9,4;2,2;0,9966;3,07;10,5;media
8,3;1,9;0,9978;3,39;10;media
7,3;1,7;0,9962;3,3;9;baixa
8,8;2,2;0,9962;3,21;10,9;media
7,3;2,5;0,998;3,49;9,2;baixa
7,8;1,6;0,996;3,39;9,5;baixa
8,2;1,7;0,9964;3,53;10,9;baixa
8,1;1,8;0,9964;3,54;10;baixa
8;1,8;0,9962;3,42;10,5;alta
8;2;0,9968;3,24;9,4;baixa
5,6;2,3;0,9937;3,63;10;baixa
7,9;2,2;0,9959;3,22;9,9;media
8,4;1,9;0,9965;3,19;9,6;baixa
7,2;2;0,9972;3,48;9,2;baixa
8,4;1,9;0,9965;3,19;9,6;baixa
5,2;1,8;0,9916;3,68;14;media
6,3;1,7;0,9954;3,34;9,4;baixa
5,2;1,8;0,9916;3,68;14;media
8,1;1,8;0,9968;3,17;9,4;baixa
5,8;1,8;0,9944;3,54;10;baixa
6,9;2,3;0,9959;3,42;10,2;media
7,3;2,1;0,9958;3,33;10,3;media
7,5;1,8;0,995;3,35;10,1;baixa
7,5;1,8;0,995;3,35;10,1;baixa
7,1;5,5;0,9973;3,42;10,5;baixa
7,1;5,5;0,9973;3,42;10,5;baixa
7,1;5,5;0,9973;3,42;10,5;baixa
7,1;2,2;0,9969;3,48;9,3;baixa
6,8;1,9;0,9968;3,59;9,3;media
7,6;2;0,9959;3,2;9,6;baixa
7,8;1,7;0,9964;3,33;10;media
7,4;7,3;0,9982;3,37;9,4;baixa
7,3;7,2;0,9981;3,37;9,4;baixa
7,8;1,7;0,9961;3,19;9,5;baixa
6,8;2,1;0,9956;3,34;10,2;baixa
6,8;2,1;0,9953;3,47;10,4;media
8;2;0,9972;3,29;9,2;media
7,4;1,9;0,9961;3,42;11,5;media
6,9;1,5;0,9958;3,35;9,5;baixa
7,3;2;0,9961;3,33;9,5;baixa
7,5;2,3;0,9972;3,58;10,5;media
7;2,5;0,9969;3,48;9,6;baixa
8,8;2,4;0,9969;3,19;9,5;baixa
8,8;2,4;0,9969;3,19;9,5;baixa
8,9;2;0,9972;3,12;9,3;baixa
7,2;2,5;0,9972;3,44;9,3;baixa
6,8;1,8;0,9971;3,54;9,3;baixa
6,7;1,9;0,997;3,52;9,3;media
8,9;2;0,9971;3,26;9,7;baixa
7,4;2;0,9972;3,34;9,2;baixa
7,9;2;0,9968;3,2;9,5;baixa
8,2;2,9;0,9976;3,23;9,4;baixa
6,4;1,9;0,9974;3,57;9,8;media
7,6;2,2;0,9964;3,28;9,7;baixa
7,6;2,2;0,9964;3,28;9,7;baixa
7,3;2,4;0,9968;3,46;10,2;baixa
11,5;2;0,9981;3,11;10,1;media
9,6;1,4;0,99695;3,22;10,3;alta
7;1,6;0,99615;3,34;9,2;media
12,8;2,6;0,9994;3,2;10,8;alta
12,8;2,6;0,9994;3,2;10,8;alta
7,8;2,7;0,9966;3,22;9,4;baixa
9,7;2;0,99585;3,3;12,4;media
8;2,8;0,99685;3,35;10;media
8,2;2,2;0,9959;3,3;10,1;baixa
7,8;2,4;0,9974;3,24;9,8;media
7;5,6;0,9974;3,34;10;baixa
